NodeID,TurnID,StartLink,EndLink,TurnType,TurnOper,Remark,geometry
N413002380,1,L413001520,L413001610,106,0,,POINT Z (344191.5395849625 4041093.7052028035 0)
N413002400,1,L413001530,L413001470,106,0,,POINT Z (344214.1628411782 4041092.1251753345 0)
N413002830,1,L413001720,L413001590,106,0,,POINT Z (344206.93162561936 4041094.969810776 0)
N413002850,1,L413001650,L413001460,106,0,,POINT Z (344201.09537313296 4041089.843295989 0)
N413002850,2,L413001610,L413001710,107,0,,POINT Z (344201.09537313296 4041089.843295989 0)
N413002830,2,L413001470,L413001660,107,0,,POINT Z (344206.93162561936 4041094.969810776 0)
N413000210,1,L413002110,L413003430,106,0,,POINT Z (345088.2547388187 4041271.4671781496 0)
N413000250,1,L413003790,L413000120,106,0,,POINT Z (345048.22858786583 4041186.9072124395 0)
N413000440,1,L413003460,L413002380,106,0,,POINT Z (344989.33621208835 4041043.3200148987 0)
N413000480,1,L413003720,L413000180,106,0,,POINT Z (344954.65905779065 4040941.487787474 0)
N413000590,1,L413003600,L413000150,106,0,,POINT Z (344838.01357732835 4040667.1601746124 0)
N413001070,1,L413001050,L413001010,106,0,,POINT Z (344598.6456194356 4041396.761056366 0)
N413001380,1,L413002410,L413000140,106,0,,POINT Z (344279.4506814792 4041065.8593605123 0)
N413000190,1,L413002120,L413003420,101,0,,POINT Z (345085.50001118064 4041282.54866578 0)
N413001020,1,L413002240,L413000470,101,0,,POINT Z (344530.2516176485 4041228.0703734234 0)
N413001040,1,L413002230,L413000460,101,0,,POINT Z (344528.52207751694 4041235.8708256427 0)
N413001010,1,L413000460,L413002240,101,0,,POINT Z (344525.9249773362 4041229.8148161676 0)
N413001030,1,L413000470,L413002230,101,0,,POINT Z (344532.8479179704 4041234.12470843 0)
N413000920,1,L413000630,L413000620,101,0,,POINT Z (344437.29693520546 4040995.372565559 0)
N413000930,1,L413000620,L413002430,101,0,,POINT Z (344439.68214358244 4041001.1861422593 0)
N413000910,1,L413000610,L413000630,101,0,,POINT Z (344433.2078465711 4040997.0189026487 0)
N413000940,1,L413002430,L413000610,101,0,,POINT Z (344435.5927072591 4041002.8313212697 0)
N413000900,1,L413002520,L413000730,101,0,,POINT Z (344342.65239783074 4040770.7930269754 0)
N413000890,1,L413000740,L413002520,101,0,,POINT Z (344345.80479566334 4040769.525890792 0)
N413000880,1,L413002690,L413000740,101,0,,POINT Z (344343.53811288404 4040763.6653329297 0)
N413000870,1,L413000730,L413002690,101,0,,POINT Z (344340.3966418476 4040764.954208445 0)
N413000660,1,L413002680,L413003520,101,0,,POINT Z (344804.6256084243 4040584.8064630143 0)
N413000650,1,L413003520,L413002670,101,0,,POINT Z (344802.26585114456 4040578.9230993805 0)
N413000640,1,L413002670,L413003530,101,0,,POINT Z (344807.9864204164 4040576.6394496397 0)
N413000630,1,L413003530,L413002680,101,0,,POINT Z (344810.3495055826 4040582.510796479 0)
N413000420,1,L413003470,L413002390,101,0,,POINT Z (344997.3981430004 4041047.365952 0)
N413004530,1,L413005180,L413005170,106,0,,POINT Z (344831.17814967886 4041113.9937298223 0)
N413000150,1,L413002080,L413000110,106,0,,POINT Z (344969.0888952966 4041329.403518845 0)
N413000160,1,L413000070,L413002080,106,0,,POINT Z (344973.2706519101 4041327.7033489347 0)
N413000220,1,L413003420,L413002110,106,0,,POINT Z (345082.0486225473 4041273.945359042 0)
N413000260,1,L413000060,L413003790,106,0,,POINT Z (345049.41162374394 4041189.534495541 0)
N413000430,1,L413002390,L413003460,106,0,,POINT Z (344991.87045443914 4041049.520498722 0)
N413000470,1,L413000190,L413003720,106,0,,POINT Z (344952.7122990712 4040936.709924203 0)
N413000600,1,L413000020,L413003600,106,0,,POINT Z (344839.8975937229 4040671.5044080615 0)
N413001100,1,L413001020,L413001050,106,0,,POINT Z (344595.76310881635 4041390.15179529 0)
N413004540,1,L413005130,L413005180,106,0,,POINT Z (344835.10174634936 4041112.412438762 0)
N413001370,1,L413000030,L413002410,106,0,,POINT Z (344282.20686097105 4041064.7297200304 0)
